iteration,best_score,temperature,stagnated,bp_steps,bp_loss_before,bp_loss_after,bp_grad_norm_mean,bp_improved_particles,scope,strategy,week_start
9,21135.154381797212,0.5204110829884876,False,4,45208.88996696747,43497.043551329574,4279.783064919059,24,lower,hpso,2026-03-16
10,-28190.823002306133,0.4839823071792934,False,4,10611.1896736544,8905.136900259455,4267.217236953011,24,lower,hpso,2026-03-16
11,-60643.22942214229,0.45010354567674293,False,4,-32511.9377052681,-34208.168964079945,4243.333150374162,24,lower,hpso,2026-03-16
12,-99345.06039078886,0.41859629747937094,False,4,-72077.23468927533,-73750.74322828575,4183.918308387641,24,lower,hpso,2026-03-16
13,-142668.78623919375,0.38929455665581497,False,4,-107454.98575772182,-109117.96661433182,4159.495308813926,24,lower,hpso,2026-03-16
14,-178361.68994945858,0.36204393768990795,False,4,-148489.92658637388,-150159.22774738545,4173.723858282141,24,lower,hpso,2026-03-16
15,-217151.49042569933,0.3367008620516144,False,4,-188562.4704147411,-190230.13847016334,4169.2701385556475,24,lower,hpso,2026-03-16
16,-262930.6404781292,0.3131318017080014,False,4,-230712.05745920946,-232368.39880848653,4141.063696766063,24,lower,hpso,2026-03-16
17,-305306.49626952,0.2912125755884413,False,4,-277578.7203288527,-279221.05185756675,4106.086217559422,24,lower,hpso,2026-03-16
18,-369772.4158808065,0.2708276952972505,False,4,-321504.53159740334,-323124.3236979187,4049.6765803290536,24,lower,hpso,2026-03-16
19,-412771.7312220209,0.25186975662644295,False,4,-378938.592035795,-380545.5981423867,4017.620247306202,24,lower,hpso,2026-03-16
20,-462230.7458502627,0.23423887366259194,False,4,-433466.4369158983,-435062.02635860397,3989.119891228552,24,lower,hpso,2026-03-16
21,-504138.87785525515,0.21784215250621053,False,4,-483935.3998743094,-485515.5033320534,3950.4348137926645,24,lower,hpso,2026-03-16
22,-549996.7660059902,0.2025932018307758,False,4,-521850.7806526353,-523416.72091127594,3914.950677435702,24,lower,hpso,2026-03-16
23,-582399.8860382194,0.18841167770262152,False,4,-555208.8473899183,-556764.0561456217,3888.121889258415,24,lower,hpso,2026-03-16
24,-616073.860593767,0.175222860263438,False,4,-590162.6035135807,-591701.0360191118,3846.7842632638485,24,lower,hpso,2026-03-16
25,-656514.3131002625,0.16295726004499736,False,4,-623672.3469866845,-625199.3311164929,3817.8520238004016,24,lower,hpso,2026-03-16
26,-687088.8232703081,0.15155025184184756,False,4,-663406.8847652836,-664928.4296191576,3804.1402824348124,24,lower,hpso,2026-03-16
27,-724563.4919749894,0.14094173421291822,False,4,-700444.6307984954,-701961.0983589806,3791.971543593101,24,lower,hpso,2026-03-16
28,-758103.7962446443,0.13107581281801395,False,4,-736286.4409313585,-737800.6326830394,3785.77526494935,24,lower,hpso,2026-03-16
29,-794843.6973613979,0.121900505920753,False,4,-772218.8571570045,-773732.7079390778,3784.9390913483594,24,lower,hpso,2026-03-16
30,-840540.1272527332,0.11336747050630029,False,4,-808535.7426643964,-810037.6538759159,3757.2261375833386,24,lower,hpso,2026-03-16
31,-870361.0944608267,0.10543174757085927,False,4,-848256.3469471482,-849739.4642828839,3708.9250790912347,24,lower,hpso,2026-03-16
32,-905600.123511614,0.09805152524089912,False,4,-883991.7156495029,-885450.6871353285,3648.2830467943677,24,lower,hpso,2026-03-16
33,-942627.7080617042,0.09118791847403619,False,4,-921067.139280737,-922535.62364807,3673.369320220186,24,lower,hpso,2026-03-16
34,-976851.8739476049,0.08480476418085367,False,4,-952447.2243020993,-953922.4570732324,3688.181972137201,24,lower,hpso,2026-03-16
35,-1005408.4708085668,0.07886843068819391,False,4,-982186.5241273856,-983657.4652974412,3677.4529251395043,24,lower,hpso,2026-03-16
