particle_index,score,weeks_evaluated,unique_weeks_evaluated
34,1478861424.7688513,96,13
35,1481003077.381242,96,13
36,1480915801.062802,96,13
37,1481049958.1097107,96,13
38,1481724490.7125053,96,13
39,1481606959.4280128,96,13
40,1483430683.41664,96,13
41,1487376586.6129637,96,13
42,1493232231.6031582,96,13
43,1485369844.6034765,96,13
44,1481743459.4873722,96,13
45,1483527932.0295784,96,13
46,1506010084.6397305,96,13
47,1481876566.2582893,96,13
0,1481020006.4461339,96,13
1,1485523214.3351908,96,13
2,1479700315.1993496,96,13
3,1483455522.7389915,96,13
4,1480053077.767998,96,13
5,1488772209.8987567,96,13
6,1481986918.6865714,96,13
7,1479911326.3589423,96,13
8,1550548119.219762,96,13
9,1483145020.6511447,96,13
10,1480998628.6751795,96,13
11,1483894986.1400158,96,13
12,1483138347.7593825,96,13
13,1484025848.9259214,96,13
14,1482333825.1076705,96,13
15,1480673857.064513,96,13
16,1481358698.9914072,96,13
17,1483532228.6811974,96,13
18,1479813588.679556,96,13
19,1504052160.885545,96,13
20,1484595092.6465151,96,13
21,1485292182.4900935,96,13
22,1480503790.496238,96,13
23,1483914022.9822328,96,13
24,1480847585.9562683,96,13
25,1493267265.8895855,96,13
26,1479544727.905544,96,13
27,1487932291.5213826,96,13
28,1484914840.4958527,96,13
29,1481317098.5745876,96,13
30,1480964817.6496584,96,13
31,1489248676.8379924,96,13
32,1481505201.5957603,96,13
33,1479403943.2921355,96,13
34,1481356374.5711746,96,13
35,1482087990.4205954,96,13
36,1484015964.361452,96,13
37,1478512132.195739,96,13
38,1483431648.1964226,96,13
39,1480361246.0278704,96,13
40,1481832600.0245905,96,13
41,1482591155.807525,96,13
42,1493631251.2254975,96,13
43,1486678913.2518203,96,13
44,1504856105.94468,96,13
45,1482751985.364411,96,13
46,1525420320.6577194,96,13
47,1479669192.719128,96,13
0,1479754447.6624286,96,13
1,1484119322.1180027,96,13
2,1483867852.3307579,96,13
3,1482020092.5189416,96,13
4,1478894421.9879189,96,13
5,1484601169.091302,96,13
6,1485844460.6161976,96,13
7,1479733815.5672352,96,13
8,1491655867.2937438,96,13
9,1483492460.2513275,96,13
10,1480860442.559803,96,13
11,1484818836.5135791,96,13
12,1482314397.1118424,96,13
13,1486018015.0573435,96,13
14,1481895091.8586986,96,13
15,1478881952.5771692,96,13
16,1478562830.9443004,96,13
17,1483612378.2224824,96,13
18,1480293886.539436,96,13
19,1482035289.7969913,96,13
20,1481229184.8506286,96,13
21,1479464866.1944687,96,13
22,1482067001.362214,96,13
23,1478869529.8468683,96,13
24,1479968857.187026,96,13
25,1484135371.2597685,96,13
26,1481323649.1383593,96,13
27,1486563679.3216484,96,13
28,1481549919.7092915,96,13
29,1480516581.072858,96,13
30,1479801715.8810246,96,13
31,1497939686.752615,96,13
32,1479576881.7309086,96,13
33,1479590115.7414303,96,13
34,1478625209.6890128,96,13
35,1480434975.813916,96,13
36,1478329598.017702,96,13
37,1479669199.394556,96,13
38,1480575666.4565458,96,13
39,1480375282.4251053,96,13
40,1480883752.922643,96,13
41,1483320636.5288684,96,13
42,1485035761.561423,96,13
43,1487493507.5881183,96,13
44,1483004082.5483372,96,13
45,1484431268.0746653,96,13
46,1485503459.3993104,96,13
47,1482313032.801902,96,13
0,1478879093.7193692,96,13
1,1493818938.1464012,96,13
2,1482972311.1418762,96,13
3,1480125796.3929863,96,13
4,1480561442.9553936,96,13
5,1483023079.404066,96,13
6,1480242834.7810097,96,13
7,1479199880.1284306,96,13
8,1490744342.7773552,96,13
9,1480028194.496087,96,13
10,1480468251.186931,96,13
11,1478425330.6394901,96,13
12,1481445790.7963116,96,13
13,1482243029.6962605,96,13
14,1480027955.1074388,96,13
15,1480045814.8910391,96,13
16,1479232720.8697088,96,13
17,1482605374.3356102,96,13
18,1478723527.084037,96,13
19,1485525591.4014556,96,13
20,1479307024.3388548,96,13
21,1483546975.6159165,96,13
22,1480560729.0851543,96,13
23,1478096243.7937791,96,13
24,1479678702.8651085,96,13
25,1478612458.9959614,96,13
26,1479645281.377269,96,13
27,1482319022.3591063,96,13
28,1483581691.7993145,96,13
29,1480016499.6558304,96,13
30,1480963854.4460824,96,13
31,1487332153.9268208,96,13
32,1481167609.3103867,96,13
33,1478672684.016679,96,13
34,1479287784.3870986,96,13
35,1479018787.2484112,96,13
36,1479893891.9406817,96,13
37,1479879542.703406,96,13
38,1478139395.3248386,96,13
39,1479726320.8763707,96,13
40,1480540016.6938915,96,13
41,1481349096.7405224,96,13
42,1487666539.513815,96,13
43,1507164174.9161987,96,13
44,1479736424.469222,96,13
45,1482928330.776434,96,13
46,1483336940.5992296,96,13
47,1478502676.5269215,96,13
0,1481089311.4776914,96,13
1,1519084410.719817,96,13
2,1480785832.474949,96,13
3,1479730654.4710484,96,13
4,1479668138.44147,96,13
5,1480401094.9968014,96,13
6,1479177783.9390614,96,13
7,1479264995.1397533,96,13
8,1483148408.0770752,96,13
9,1481298361.1280365,96,13
10,1480040944.1588192,96,13
11,1478619340.2280548,96,13
12,1484165715.3150482,96,13
13,1482825903.26075,96,13
14,1482074089.56346,96,13
15,1478726831.4359276,96,13
16,1479854055.715147,96,13
17,1481057594.4953258,96,13
18,1481145151.529527,96,13
19,1482745022.2082655,96,13
20,1482291456.7932339,96,13
21,1478570686.3780231,96,13
22,1478040350.8507836,96,13
23,1478550244.508649,96,13
24,1480752509.670067,96,13
25,1481676308.0007446,96,13
26,1481405122.2131517,96,13
27,1479667337.7857258,96,13
28,1478179827.041278,96,13
29,1480914102.021881,96,13
30,1478682535.5513775,96,13
31,1480432416.997784,96,13
32,1479895159.0414562,96,13
33,1479012084.213688,96,13
34,1479272800.6729527,96,13
35,1482238880.7617347,96,13
36,1479762389.2728221,96,13
37,1478229909.3332214,96,13
38,1480183755.861256,96,13
39,1479454041.433335,96,13
40,1479069102.04189,96,13
41,1478530664.0800688,96,13
42,1479375612.4423628,96,13
43,1482423209.0063903,96,13
44,1481646915.294117,96,13
45,1483366446.9701507,96,13
46,1481238769.3293889,96,13
47,1478642443.799878,96,13
0,1479073150.6225815,96,13
1,1483798382.9442418,96,13
2,1480575778.0190618,96,13
3,1481683198.5785275,96,13
4,1479735874.862856,96,13
5,1479525685.3649006,96,13
6,1481610599.3841467,96,13
7,1478821497.1906865,96,13
8,1481118315.419714,96,13
9,1479715374.7561033,96,13
10,1477490436.2021427,96,13
11,1477518772.978421,96,13
12,1480610985.2031624,96,13
13,1479984302.3024826,96,13
14,1479477397.5858815,96,13
15,1479225276.7674477,96,13
16,1478713252.8472757,96,13
17,1480904885.5376453,96,13
18,1480746881.9193957,96,13
19,1486771853.9424903,96,13
20,1479081684.2729313,96,13
21,1481419583.8545113,96,13
22,1480062174.7195404,96,13
23,1478637924.0383759,96,13
24,1479173711.3058841,96,13
25,1478138333.552592,96,13
26,1480390230.4533951,96,13
27,1482162178.118655,96,13
28,1481976772.1161196,96,13
29,1478033070.941714,96,13
30,1480114198.5966904,96,13
31,1484830648.8759854,96,13
32,1478292152.3941803,96,13
33,1478627194.7421687,96,13
34,1479379988.8398163,96,13
35,1479185069.0383034,96,13
36,1478328694.0148423,96,13
37,1481047794.0542157,96,13
38,1478244821.3475494,96,13
39,1480243705.6828868,96,13
40,1481142585.538212,96,13
41,1478722827.2580593,96,13
42,1478600883.3219216,96,13
43,1481332064.7758083,96,13
44,1479426651.78424,96,13
45,1483551168.0486088,96,13
46,1477991021.0297406,96,13
47,1478303798.9150155,96,13
0,1479128223.4790041,96,13
1,1480940663.0509045,96,13
2,1486840228.8410356,96,13
3,1478074052.1360934,96,13
4,1477784649.2029316,96,13
5,1480085147.7208412,96,13
